ciudad;depto;tamano;sector;seccion_sector;pa;numero_empleados;pb1;pb2;pb3;pb4;pb5;pb6;pb7;seleccion_por___contratados;pd1;pd2;p1;p1a;p2;p2a;p3;p3a;p4;p4a;p5;p5a;p6;p6a;p7;p7a;p8;p8a;p9;p9a;p10;p10a;p11;p11a;p12;p12a;p13;p13a;p14;p14a;p15;p15a;p16;p16a;p17;p17a;p18;p18a;p19;p19a;p20;p20a;p21a;p21b;p21c;p21d;p21e;factor
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;INDUSTRIA;Entre 11 y 50 Empleados;4;;;;;;;Tecnicos o Tecnologos;15;40;2;3;3;3;4;3;1;1;4;3;2;2;3;3;4;4;3;3;4;3;3;3;3;2;3;2;3;3;4;4;3;2;3;3;4;4;4;4;3;3;4;5;3;2;1;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;COMERCIALIZACION TEXTILES;Entre 11 y 50 Empleados;2;;;;;;;Universitarios;4;2;3;3;3;3;3;3;1;1;3;3;3;3;2;2;3;3;2;2;4;4;3;3;4;4;3;3;3;3;2;2;3;3;3;3;2;2;3;3;3;3;4;5;3;1;2;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;COMERCIALIZACION PISOS;Mas de 200 Empleados;2;5;6;;;;;Tecnicos o Tecnologos;12;40;4;3;4;4;4;2;3;1;4;4;4;3;4;3;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;2;4;3;4;4;4;3;4;4;4;3;1;3;2;5;4;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;IMPORTACION Y VENTA DE RODAMIENTOS;Entre 11 y 50 Empleados;2;5;6;;;;;Tecnicos o Tecnologos;1;2;4;4;4;3;3;3;4;1;4;3;4;2;3;3;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;2;5;1;4;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;VENTAS;Mas de 200 Empleados;5;6;7;;;;;Tecnicos o Tecnologos;200;400;3;3;3;4;4;2;2;4;4;4;4;3;3;4;4;4;4;3;3;4;4;4;3;4;3;3;3;4;3;4;3;3;3;4;4;2;2;4;4;3;1;4;3;2;5;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;INSTALACIONES ELECTRICAS;Mas de 200 Empleados;7;;;;;;;Universitarios;40;30;3;3;4;3;4;3;2;2;4;4;3;3;3;3;3;3;2;2;3;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;4;4;4;4;3;3;2;4;3;1;5;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;COMPRA Y VENTA DE DISCOS;Mas de 200 Empleados;5;6;;;;;;Tecnicos o Tecnologos;0;10;3;3;4;3;4;3;2;4;4;3;3;2;4;4;4;4;3;3;4;4;4;4;3;3;4;3;4;4;4;4;3;3;4;4;3;3;3;3;4;3;2;1;4;5;3;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;INTERMEDIARIOS;Entre 11 y 50 Empleados;3;;;;;;;Universitarios;3;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;3;2;4;5;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;COMERCIO PRODUCTOS AGRICOLAS;Entre 51 y 200 Empleados;3;;;;;;;Tecnicos o Tecnologos;0;5;3;3;3;2;3;3;2;2;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;2;3;5;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;COMERCIALIZACION DE ACCESORIOS;Entre 51 y 200 Empleados;2;7;4;;;;;Tecnicos o Tecnologos;12;25;4;4;3;3;3;4;4;3;3;3;3;4;3;3;4;4;3;3;4;3;3;3;3;4;2;3;4;4;3;3;4;4;3;4;3;3;4;3;3;3;3;4;2;5;1;11,35
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;COMPANIA FARMACEUTICA;Entre 51 y 200 Empleados;1;2;;;;;;Universitarios;3;1;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;5;2;1;7,61
